id,text_snippet,labels
363,What s your billing cycle for scaling up to 100 users?,Pricing Discussion
364,"We ve been using CompetitorY, but we re open to switching. Convince us.",Competition
365,We re considering StartupD because their workflow automation sounds more advanced.,"Competition,Objection"
366,"We ve been using RivalB, but we re open to switching. Convince us.","Competition,Pricing Discussion"
367,We re considering ProviderE because their workflow automation sounds more advanced.,"Competition,Objection,Pricing Discussion"
368,Can you beat StartupD s renewal cost? Their offer seems better.,"Pricing Discussion,Security"
369,How does your reporting tools compare to CompetitorY's reporting tools?,Competition
370,What s your cost structure for scaling up to 100 users?,"Pricing Discussion,Competition"
371,Can you beat RivalB s renewal cost? Their offer seems better.,Pricing Discussion
372,I don t see why we should pick your product over EnterpriseF s.,"Objection,Pricing Discussion,Security"
373,We re comparing your predictive modeling with CompetitorZ's. How does yours stack up?,"Competition,Pricing Discussion,Objection"
374,We re comparing your custom integrations with CompetitorX's. How does yours stack up?,"Competition,Security,Objection"
375,Can you beat ProviderE s hidden fees? Their offer seems better.,"Pricing Discussion,Objection"
376,We re concerned about your GDPR compliance can you clarify?,Objection
377,I don t see why we should pick your product over EnterpriseF s.,"Objection,Pricing Discussion"
378,How do you ensure compliance for sensitive data?,Security
379,"We ve been using EnterpriseF, but we re open to switching. Convince us.",Competition
380,I d like a quote with no hidden fees. Does your pricing include reporting tools support?,"Pricing Discussion,Objection,Competition"
381,Does your analytics include built-in privacy policies measures?,"Security,Competition"
382,"You re saying this analytics is robust, but I m hesitant it sounds too risky.","Objection,Pricing Discussion,Security"
383,I don t see why we should pick your product over CompetitorZ s.,"Objection,Pricing Discussion"
384,"We re considering your solution, but CompetitorX s billing cycle is more attractive.","Pricing Discussion,Competition"
385,We re comparing your AI engine with CompetitorX's. How does yours stack up?,"Competition,Pricing Discussion,Security"
386,"You re saying this AI engine is robust, but I m hesitant it sounds too risky.","Objection,Pricing Discussion,Security"
387,"Honestly, ProviderE seems better in terms of quote. Can you explain why we should pick you?",Competition
388,"Honestly, I m not sure your predictive modeling is as strong as CompanyC's.","Objection,Pricing Discussion,Competition"
389,"Honestly, RivalB seems better in terms of subscription. Can you explain why we should pick you?",Competition
390,"We re considering your solution, but VendorA s quote is more attractive.",Pricing Discussion
391,"We re considering your solution, but VendorA s budget is more attractive.","Pricing Discussion,Security,Competition"
392,We re comparing your reporting tools with RivalB's. How does yours stack up?,"Competition,Security"
393,Can you beat CompetitorZ s monthly fees? Their offer seems better.,Pricing Discussion
394,Is there a renewal cost if we commit to a longer-term contract?,Pricing Discussion
395,What s your discount for scaling up to 100 users?,"Pricing Discussion,Security,Competition"
396,Can you guarantee GDPR compliance for our compliance team?,"Security,Objection,Pricing Discussion"
397,How do you ensure firewalls for sensitive data?,"Security,Objection"
398,The hidden fees is a deal-breaker for us unless you can adjust it.,"Objection,Competition"
399,Can you beat CompetitorZ s renewal cost? Their offer seems better.,Pricing Discussion
400,"We re considering your solution, but CompanyC s budget is more attractive.",Pricing Discussion
401,The renewal cost is a deal-breaker for us unless you can adjust it.,"Objection,Competition"
402,Can you beat CompetitorY s billing cycle? Their offer seems better.,Pricing Discussion
403,"Honestly, EnterpriseF seems better in terms of subscription. Can you explain why we should pick you?",Competition
404,Does your reporting tools include built-in firewalls measures?,"Security,Pricing Discussion"
405,We can t move forward without clarity on SOC2 certified can you elaborate?,"Security,Pricing Discussion,Objection"
406,What s your cost structure for scaling up to 100 users?,"Pricing Discussion,Security,Competition"
407,The renewal cost is a deal-breaker for us unless you can adjust it.,"Objection,Pricing Discussion"
408,"We ve been using ProviderE, but we re open to switching. Convince us.","Competition,Security,Pricing Discussion"
409,We can t move forward without clarity on compliance can you elaborate?,"Security,Objection,Competition"
410,I read about CompetitorZ having issues with data breach risks. What s your policy?,"Security,Competition,Pricing Discussion"
411,"You re saying this recommendation system is robust, but I m hesitant it sounds too risky.","Objection,Pricing Discussion,Competition"
412,"We ve been using CompetitorY, but we re open to switching. Convince us.",Competition
413,I d like a quote with no hidden fees. Does your pricing include data pipeline support?,"Pricing Discussion,Competition"
414,We can t move forward without clarity on SOC2 certified can you elaborate?,Security
415,I read about ProviderE having issues with privacy policies. What s your policy?,"Security,Competition"
416,Can you beat StartupD s billing cycle? Their offer seems better.,"Pricing Discussion,Security"
417,I d like a quote with no hidden fees. Does your pricing include custom integrations support?,"Pricing Discussion,Objection,Competition"
418,"Honestly, I m not sure your analytics is as strong as VendorA's.","Objection,Security,Pricing Discussion"
419,I don t see why we should pick your product over CompanyC s.,Objection
420,Can you guarantee compliance for our compliance team?,Security
421,"Honestly, I m not sure your recommendation system is as strong as StartupD's.","Objection,Competition,Security"
422,We re considering CompanyC because their workflow automation sounds more advanced.,"Competition,Objection"
423,Is there a renewal cost if we commit to a longer-term contract?,"Pricing Discussion,Competition,Objection"
424,"Honestly, CompanyC seems better in terms of pricing model. Can you explain why we should pick you?",Competition
425,We re comparing your predictive modeling with ProviderE's. How does yours stack up?,Competition
426,I don t see why we should pick your product over EnterpriseF s.,Objection
427,Does your predictive modeling include built-in firewalls measures?,"Security,Competition"
428,"Honestly, StartupD seems better in terms of subscription. Can you explain why we should pick you?","Competition,Objection"
429,How does your workflow automation compare to StartupD's workflow automation?,Competition
430,I d like a quote with no hidden fees. Does your pricing include custom integrations support?,Pricing Discussion
431,How does your data pipeline compare to CompetitorZ's data pipeline?,"Competition,Pricing Discussion,Security"
432,Can you beat StartupD s renewal cost? Their offer seems better.,"Pricing Discussion,Competition,Objection"
433,We re comparing your AI engine with CompetitorX's. How does yours stack up?,Competition
434,I read about RivalB having issues with SOC2 certified. What s your policy?,Security
435,Can you beat VendorA s hidden fees? Their offer seems better.,"Pricing Discussion,Competition"
436,Does your predictive modeling include built-in encryption measures?,"Security,Competition,Pricing Discussion"
437,We re considering StartupD because their AI engine sounds more advanced.,Competition
438,We re concerned about your compliance can you clarify?,"Objection,Pricing Discussion,Security"
439,I d like a quote with no hidden fees. Does your pricing include AI engine support?,Pricing Discussion
440,"Honestly, StartupD seems better in terms of monthly fees. Can you explain why we should pick you?","Competition,Security,Pricing Discussion"
441,I don t see why we should pick your product over CompetitorY s.,"Objection,Pricing Discussion,Competition"
442,How does your data pipeline compare to CompetitorZ's data pipeline?,Competition
443,Can you beat VendorA s budget? Their offer seems better.,"Pricing Discussion,Competition"
444,"We ve been using CompetitorZ, but we re open to switching. Convince us.",Competition
445,"We ve been using CompetitorY, but we re open to switching. Convince us.",Competition
446,"We re considering your solution, but RivalB s cost structure is more attractive.",Pricing Discussion
447,I read about CompetitorY having issues with privacy policies. What s your policy?,Security
448,"We re considering your solution, but EnterpriseF s cost structure is more attractive.","Pricing Discussion,Objection,Competition"
449,Can you guarantee SOC2 certified for our compliance team?,"Security,Objection"
450,"Honestly, I m not sure your analytics is as strong as RivalB's.",Objection
451,How does your reporting tools compare to CompanyC's reporting tools?,Competition
452,"Honestly, I m not sure your data pipeline is as strong as CompetitorZ's.",Objection
453,We re considering CompanyC because their custom integrations sounds more advanced.,"Competition,Security"
454,We re concerned about your privacy policies can you clarify?,"Objection,Security"
455,We can t move forward without clarity on GDPR compliance can you elaborate?,Security
456,We re considering RivalB because their recommendation system sounds more advanced.,Competition
457,We re comparing your analytics with EnterpriseF's. How does yours stack up?,Competition
458,Does your recommendation system include built-in backup and recovery measures?,"Security,Competition,Objection"
459,Does your workflow automation include built-in firewalls measures?,"Security,Competition,Objection"
460,"You re saying this workflow automation is robust, but I m hesitant it sounds too risky.","Objection,Security,Pricing Discussion"
461,"We ve been using CompanyC, but we re open to switching. Convince us.","Competition,Objection,Pricing Discussion"
462,We re comparing your analytics with EnterpriseF's. How does yours stack up?,Competition
463,I read about CompetitorZ having issues with data handling. What s your policy?,Security
464,Can you guarantee data handling for our compliance team?,"Security,Pricing Discussion,Objection"
465,"Honestly, ProviderE seems better in terms of pricing model. Can you explain why we should pick you?","Competition,Objection,Security"
466,Can you beat CompetitorY s renewal cost? Their offer seems better.,Pricing Discussion
467,I don t see why we should pick your product over RivalB s.,"Objection,Security"
468,We re comparing your workflow automation with EnterpriseF's. How does yours stack up?,"Competition,Objection,Pricing Discussion"
469,What s your discount for scaling up to 100 users?,"Pricing Discussion,Security"
470,"Honestly, I m not sure your data pipeline is as strong as CompetitorY's.","Objection,Competition"
471,We can t move forward without clarity on SOC2 certified can you elaborate?,"Security,Competition"
472,"We re considering your solution, but VendorA s budget is more attractive.","Pricing Discussion,Objection"
473,We re comparing your AI engine with StartupD's. How does yours stack up?,"Competition,Security,Pricing Discussion"
474,I read about CompetitorZ having issues with privacy policies. What s your policy?,Security
475,Is there a pricing model if we commit to a longer-term contract?,Pricing Discussion
476,"You re saying this recommendation system is robust, but I m hesitant it sounds too risky.","Objection,Competition"
477,I read about ProviderE having issues with SOC2 certified. What s your policy?,Security
478,"You re saying this AI engine is robust, but I m hesitant it sounds too risky.",Objection
479,"We re considering your solution, but CompetitorZ s hidden fees is more attractive.","Pricing Discussion,Security,Objection"
480,"We ve been using RivalB, but we re open to switching. Convince us.","Competition,Pricing Discussion"
481,I read about ProviderE having issues with firewalls. What s your policy?,"Security,Competition,Pricing Discussion"
482,We can t move forward without clarity on compliance can you elaborate?,"Security,Objection,Competition"
483,"We re considering your solution, but CompetitorX s budget is more attractive.",Pricing Discussion
484,I d like a quote with no hidden fees. Does your pricing include data pipeline support?,Pricing Discussion
485,Is there a quote if we commit to a longer-term contract?,Pricing Discussion
486,Can you guarantee encryption for our compliance team?,"Security,Pricing Discussion"
487,"You re saying this data pipeline is robust, but I m hesitant it sounds too risky.","Objection,Competition,Security"
488,We can t move forward without clarity on privacy policies can you elaborate?,"Security,Competition,Pricing Discussion"
489,"We re considering your solution, but VendorA s subscription is more attractive.",Pricing Discussion
490,How do you ensure GDPR compliance for sensitive data?,"Security,Competition"
491,"We re considering your solution, but CompanyC s cost structure is more attractive.","Pricing Discussion,Competition,Objection"
492,We re concerned about your data breach risks can you clarify?,"Objection,Pricing Discussion"
493,We can t move forward without clarity on SOC2 certified can you elaborate?,"Security,Objection"
494,We can t move forward without clarity on GDPR compliance can you elaborate?,"Security,Pricing Discussion,Competition"
495,How does your data pipeline compare to CompetitorX's data pipeline?,"Competition,Pricing Discussion"
496,Is there a quote if we commit to a longer-term contract?,Pricing Discussion
497,We re considering ProviderE because their AI engine sounds more advanced.,"Competition,Pricing Discussion,Security"
498,The renewal cost is a deal-breaker for us unless you can adjust it.,Objection
499,I read about CompanyC having issues with data handling. What s your policy?,"Security,Objection"
500,"We re considering your solution, but VendorA s renewal cost is more attractive.","Pricing Discussion,Competition,Objection"
